date,quality_i1,quality_i2,quality_i3,valid_days_i1,valid_days_i2,valid_days_i3,snow_flag,land_water_type,product,source
2012-01-18,3.0,3.0,3.0,8229.89731089186,7990.713866292665,8203.28248650661,0.29052670761213467,2.740405732365531,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-19,3.0,3.0,3.0,4077.3157752878237,3954.6751540193964,4053.399725834539,0.28444666740765434,2.7511763180319364,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-20,3.0,3.0,3.0,2057.474327722965,1997.6784665731664,2050.8206216266526,0.29052670761213467,2.740405732365531,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-21,3.0,3.0,3.0,12844.124834116154,14691.991517792301,14656.02685768034,0.45879458794587935,2.3262716156573333,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-22,3.0,3.0,3.0,5750.4833931658,6590.08901876745,6575.0990291262115,0.4884919093851132,2.301022653721683,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-23,2.98262642063972,2.9885848020251244,2.9888390772391924,24582.06066603057,25327.948665706514,24472.725693471573,0.4210796675072384,2.368964229009061,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-24,2.968535106497485,2.980644696214244,2.9766615989880147,12524.038180370164,12707.633112952806,12348.718186776852,0.4333793679714975,2.3608457994359813,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-25,2.9516968894167097,2.9671293364596347,2.976621392074332,32943.84358855209,32956.7184948188,32418.449616951053,0.7854073007838351,1.582353824008951,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-26,2.9506446563064808,2.961033062381558,2.9753196718485033,35035.58369198193,35028.176048585825,32644.738375802157,0.7904673446666921,1.5543807307889572,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-27,2.911752227407723,2.9156761001221803,2.9456140350877202,34289.1691215158,35647.34018100347,31414.514073162904,0.7991711331751753,1.542749611926311,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-28,2.9081350536193042,2.919399141872725,2.918405682003798,20208.39315901173,20851.288730054144,18095.266211565664,0.8212968126031442,1.4944520482362036,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-29,2.9028630285464496,2.916903699402086,2.9266809445978708,11247.852644348368,11614.13359916587,10163.96247252438,0.8168009919404836,1.4901031392661905,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-30,2.8719938205709052,2.882250553144126,2.8841903088604024,9110.244874384787,9319.155535124308,8548.32927557899,0.8155322324105628,1.4609852649498987,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-01-31,2.905168265099175,2.9114360623834403,2.942808876395387,7357.782731436657,7301.419488066599,6146.381374165469,0.8253452982674273,1.4425169608346642,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-01,2.9115969175240983,2.9277982388902397,2.9668049238428207,4582.237189312007,4508.805367191648,3986.6692590999987,0.8345000173600445,1.4008487726448435,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-02,2.908057710036441,2.919049836981837,2.962037316090854,4211.615923204431,4133.727324036272,3631.100852078136,0.830006301542508,1.485643442286091,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-03,2.9083562666169143,2.9192600993527544,2.9567439318755397,3147.5683339854177,3119.494701461183,2873.3499946451657,0.8288540382307631,1.4940918340166482,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-04,2.9067979766118768,2.9192080855272065,2.95762098759659,1587.3293698766247,1576.7549273923125,1457.5752745998245,0.8251748828841717,1.4949453826242212,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-05,2.8402065332703783,2.8499605007467403,2.8271192266380263,14573.997797978178,14649.513807375595,12170.89283208021,0.8199699248120302,1.4932703186537781,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-06,2.619997118051805,2.657736046791579,2.6742566232713663,23090.34831076206,24553.528567167003,20544.451958417045,0.8095616005043088,1.5018011020493176,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-07,2.6242021540711598,2.665817832890466,2.696353774423113,11489.795008134586,12182.234275705076,10152.007387224241,0.8207067929179678,1.4741842039201094,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-08,2.6705674039176035,2.703146378898027,2.7414555606434385,5972.660904215824,6352.588262751287,5226.99159514911,0.8238851386283402,1.4770735165955189,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-09,2.6671423979427855,2.6922493663735443,2.692208922089223,7399.846025336759,7574.461425614254,6052.964563645633,0.8243212432124322,1.4631296312963133,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-10,2.76454483861601,2.7771519492246055,2.8659525163967334,9662.089205044067,9541.055046178546,8366.381119495372,0.7853700977111496,1.5302879467273447,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-11,2.8844968648272973,2.8835424283700144,2.92932518239543,5148.640221419656,5066.971248840127,4545.157569637755,0.7949802594472645,1.4849125775521699,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-12,2.9102099964150647,2.915943815982526,2.921775415530223,2608.384211909141,2626.848426104103,2338.755045807398,0.7797841340886307,1.4806723080868112,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-13,2.9258304239401505,2.928457831897268,2.95108411970025,1961.1681198511765,1877.2994222324937,1962.2836594543317,0.7897620247189274,1.4442190116967815,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-14,2.9098314831083782,2.9198555237973354,2.930212957746479,12176.265123747187,13465.912082163106,11524.571821971826,0.780092394366197,1.44667042253521,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-15,2.9541759138288097,2.9552448383316334,2.9636359921960396,7868.695954016121,8357.318519947241,6855.931368042572,0.8038080062104821,1.4812561926066652,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-16,2.839230114606319,2.8477439314612103,2.8953162666327703,23592.5942382059,23687.791708141172,21096.080831513627,0.8058409337503916,1.4690134514897417,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-17,2.691713002884245,2.7218120774246217,2.770155741943401,26763.395050094234,26114.829061184915,25179.836427137834,0.7778289029702276,1.5067835826781995,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-18,2.698436112553316,2.7192014505793654,2.713456303247421,19458.367918728738,18886.337952953378,18473.4578815859,0.7831053272149421,1.5239782731170666,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-19,2.562951880049086,2.593026965962696,2.566676300695686,23973.144160072865,23206.474807073795,23282.71612044432,0.7114106253841737,1.562060108199643,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-20,2.543942424869516,2.578234573372613,2.556982889757226,14579.566237003772,13990.87169553138,14021.86653764621,0.7155222252746126,1.5182931579530026,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-21,2.6244897188675442,2.655809463949002,2.728023465511582,7852.887124892385,7556.1635380738935,7314.518684157783,0.7209249777239645,1.5054038037662483,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-22,2.75329158447608,2.7857846044360106,2.8041091303745445,5060.7124591932015,4946.198598346652,4875.098473652612,0.6262873504826124,1.7358449175633872,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-23,2.7406336002001495,2.763745731219962,2.7550977774607404,10959.999657730179,10588.942581854859,9224.118734141093,0.6474151898992162,1.779621118708664,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-24,2.7100382191265258,2.724499810054451,2.7168423506254697,8004.520351086748,7468.465696304151,6969.830354044176,0.61718681204838,1.8038227448136541,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-25,2.764399344885642,2.771596142446765,2.8302186496630943,3579.37459324013,3432.7938655994167,3007.1237337765115,0.6720481164925611,1.8261995206439658,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-26,2.732523019485286,2.757376860859167,2.8153369000542776,3872.1629755526296,3758.368979203703,3618.4554099309526,0.6459254971678999,1.7202732873030968,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-27,2.721062068814713,2.74429994014257,2.813051250848079,2028.1142523919573,1962.0202031080048,1890.82952281465,0.63016250794232,1.750455000700002,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-28,2.757807531288195,2.7761569499567886,2.8330510274662735,1030.4164022348812,998.7124782824185,971.7141122070509,0.6175581541008786,1.7757329513580646,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-02-29,2.742629456294347,2.760176478165658,2.8250520567737563,684.8074259904344,731.4145843957169,740.0820850331467,0.6247397161312257,1.775019122896482,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-01,2.748612780187053,2.7691391993985315,2.847223734208387,9599.792601601934,9673.084145917901,9128.222811464833,0.6413430584283292,1.7509369994245814,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-02,2.665741019330082,2.697037979993077,2.665591100604354,22854.59551748191,22778.761476941254,21293.793081425272,0.6412693268259201,1.7411301546146076,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-03,2.766761806679419,2.8123445717314213,2.8853436682536007,12977.547322175493,12979.910679732846,12090.488557631748,0.6345137915576716,1.7301950281165073,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-04,2.955941824935594,2.957992451594173,2.965733045331656,8125.337675970265,8109.470196117698,7756.7324016193,0.6030798060280087,1.9052741499420658,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-05,2.9795247626539147,2.9796523327451165,2.988053606563463,4888.109871078028,4879.712603482193,4652.094145598986,0.6116419794334927,1.9351375431562532,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-06,2.999505617541854,2.9995094455773166,2.9995340125177044,5523.304797854561,5097.400465286016,4647.241227990148,0.6589362284463096,1.8817078733692183,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-07,3.0,3.0,3.0,9617.421036054708,9461.911614954939,9681.479935610932,0.6332355512702134,1.9293762920714814,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-08,2.9936805036300935,2.993834085114729,2.994143680987081,13717.822345740873,13827.060715516838,12316.900249172511,0.6302279742645692,1.8674476551749781,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-09,2.9561765224835495,2.958836419885706,2.9724918053859506,22508.078001837603,24400.213671208512,23868.501270822486,0.7124143290349343,1.6546576374971513,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-10,2.886484689782649,2.877964118564743,2.92098907248682,26377.22357344729,29546.48993750186,26928.801441783737,0.6725575093517128,1.6747739389119605,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-11,2.894463458828267,2.889463387367244,2.932667071959195,18220.743447507586,19572.371509010696,18038.26947998992,0.6750789579039456,1.7134161711718383,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-12,2.90434199093232,2.9084085336358023,2.922024830126373,10559.261766174657,11182.748636392975,10460.990331491714,0.6710008255540739,1.733234901886073,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-13,2.904830725273264,2.8891835468035887,2.9413760357793812,5753.849676141787,6128.300113585088,5709.576498338158,0.6798618450274933,1.7409977178391456,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-14,2.904291997615557,2.8895143496464244,2.9309257925072045,4479.380130819544,4675.783734478,4500.764619356387,0.663312019692603,1.8180085254562914,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-15,2.7937184380390394,2.803170419574025,2.7828892516587387,17373.83562051396,17266.345457863423,14969.965963469223,0.5775210363696238,2.0719335243713597,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-16,2.763146715884455,2.784976620098111,2.7584545557246445,12991.37225165286,12927.423157735731,11188.859610183346,0.6052325542759555,1.93633747782112,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-17,2.864036756726287,2.8793534614211675,2.870640224739281,10110.09053651267,9554.378534246847,7857.794437959386,0.629488051105097,1.818977128416948,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-18,2.9309415018597664,2.937665813631349,2.9312547146090027,5296.775169472156,5033.321181904829,4207.408714393474,0.6154387729444306,1.8293832393404938,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-19,2.9552057375554606,2.9592508925468404,2.95063034342849,2742.375513968411,2609.6750952187244,2241.3679176930877,0.6058832053325605,1.838414722503985,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-20,2.8713764131438877,2.892099566241367,2.8865060556274447,4866.789499664488,4673.493881397816,4548.734293897846,0.5561726689832652,2.030707047209178,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-21,2.8671172360385095,2.8872902059075494,2.875602608942245,2431.3834842850742,2332.908144178381,2293.403229911217,0.5612861474474101,2.0105215703098303,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-22,2.8605534602626435,2.8750184459492703,2.865966169273547,4822.944632102227,4206.839325085742,3462.4818367821094,0.5668407917319321,1.9705911008851147,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
2012-03-23,2.8641819049839565,2.8846944161671013,2.873753432576963,2668.62172473984,2172.726037715303,1784.1124710940896,0.6055788408729584,1.8896878161584039,VNP43IA2,VIIRS VNP43IA2 Quality (Collection 001)
