system:index,date,pdd_degCday,precip_mm,precip_volume_m3,snowfall_mm_we,snowfall_volume_m3,source,ssrd_wm2,t2m_C,timestamp,.geo
0,2000-01-01,4.6366312881153,66.55230157334323,1.1286768579023665E7,0.04578525272704843,7764.833666838851,ERA5-Land Daily,2344.1136472918374,4.6366312881153,946684800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2000-01-02,0.5634877108213948,6.9202358838685445,1173619.8311248857,0.0,0.0,ERA5-Land Daily,4585.181512548415,0.5634877108213948,946771200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2000-01-03,0.0,56.501701477686176,9582262.578806974,10.083471031679064,1710080.6631372133,ERA5-Land Daily,3149.627412600432,-0.4757392649661357,946857600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2000-01-04,0.0,38.52668576296553,6533835.435340205,3.778754953499727,640848.3503758147,ERA5-Land Daily,3308.7982943966745,-0.024603150410919435,946944000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2000-01-05,0.598787198024732,11.719081393536044,1987467.8489040108,0.17794702889364816,30178.47447746127,ERA5-Land Daily,4440.2925676931245,0.598787198024732,947030400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2000-01-06,2.4653562815433068,10.756924367198463,1824293.2713728927,0.0,0.0,ERA5-Land Daily,2221.957886680704,2.4653562815433068,947116800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2000-01-07,3.878871121965822,14.497268484917873,2458627.433596979,0.0,0.0,ERA5-Land Daily,2438.735397826065,3.878871121965822,947203200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2000-01-08,4.135002022250907,48.89589577548082,8292375.275312204,0.0,0.0,ERA5-Land Daily,1380.3293799177607,4.135002022250907,947289600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2000-01-09,1.2353443034031923,4.123135831862722,699252.7509034277,0.0,0.0,ERA5-Land Daily,5486.337545743473,1.2353443034031923,947376000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2000-01-10,3.0093920139489994,5.380116978085068,912427.2763550024,0.0,0.0,ERA5-Land Daily,4194.914774081956,3.0093920139489994,947462400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2000-01-11,3.749481498028614,17.130824892470546,2905258.744748473,0.0,0.0,ERA5-Land Daily,1687.3807115691868,3.749481498028614,947548800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
