"sensor","year","month","mean_albedo","n_obs","sd_albedo","date","mean_temp","total_precip","total_snowfall","mean_radiation","total_pdd","n_days","season_sin","season_cos","day_of_year","time_trend","temp_anomaly","precip_anomaly","snow_anomaly","rad_anomaly","temp_lag1","precip_lag1","snow_lag1","rad_lag1","temp_cum3","precip_cum3","snow_cum3","rad_cum3"
"VIIRS",2016,1,0.371119362984989,31,0.0167657204643009,2016-01-01,2.043714624901,1242.9420916013,167.691790119642,3691.45428154267,64.5868722834694,31,0.5,0.866025403784439,1,4,1.99285924543553,-24.0793114450546,-323.581680986957,1650.09381388304,0.432819847936661,992.102632226749,277.116016089543,4302.87347103698,0.416005717597767,3538.97654469933,904.078229901778,4038.00956447052
"VIIRS",2016,2,0.341896171204448,29,0.0317022939942172,2016-02-01,2.53035322976211,655.910588012516,46.0175351714439,2735.19745981333,73.6995142074856,29,0.866025403784439,0.5,32,4.0848733744011,2.47949785029664,-611.110815033841,-445.255935935156,693.8369921537,2.043714624901,1242.9420916013,167.691790119642,3691.45428154267,1.66896256753326,2890.95531184057,490.825341380628,3576.50840413099
"VIIRS",2016,3,0.293753325630822,31,0.0357507433661157,2016-03-01,2.2247465497042,781.943147165698,15.356533045779,1619.75128867919,69.8000221267153,31,1,6.12323399573677e-17,61,4.16427104722793,2.17389117023873,-485.078255880659,-475.916938060821,-421.609178980434,2.53035322976211,655.910588012516,46.0175351714439,2735.19745981333,2.26627146812244,2680.79582677952,229.065858336864,2682.13434334506
"VIIRS",2016,4,0.312730802864268,30,0.0301463058759362,2016-04-01,2.00686357051941,1387.66345740273,112.286014910094,1076.0062950583,65.6987704608724,30,0.866025403784439,-0.5,92,4.24914442162902,1.95600819105393,120.642054356373,-378.987456196505,-965.354172601325,2.2247465497042,781.943147165698,15.356533045779,1619.75128867919,2.25398778332858,2825.51719258095,173.660083127317,1810.31834785028
"VIIRS",2016,5,0.241949764137516,31,0.0405491769180493,2016-05-01,-1.38288139301864,1555.5315412309,929.941001358797,668.042502488142,10.7095138496271,31,0.5,-0.866025403784439,122,4.33127994524298,-1.43373677248411,288.510138184545,438.667530252197,-1373.31796517149,2.00686357051941,1387.66345740273,112.286014910094,1076.0062950583,0.949576242401659,3725.13814579933,1057.58354931467,1121.26669540855
"VIIRS",2016,6,0.168068779804282,30,0.0635476945700003,2016-06-01,-0.423436710498585,1380.94357592392,627.310321484132,412.578288690827,13.851317119014,30,1.22464679914735e-16,-1,153,4.41615331964408,-0.474292089964059,113.922172877566,136.036850377532,-1628.7821789688,-1.38288139301864,1555.5315412309,929.941001358797,668.042502488142,0.0668484890007292,4324.13857455756,1669.53733775302,718.875695412424
"VIIRS",2016,7,0.297368418777734,31,0.0583439850165786,2016-07-01,-0.832983314161143,1397.78293801683,820.592082156277,517.512687268761,22.3837904945706,31,-0.5,-0.866025403784439,183,4.49828884325804,-0.883838693626617,130.76153497047,329.318611049677,-1523.84778039087,-0.423436710498585,1380.94357592392,627.310321484132,412.578288690827,-0.879767139226121,4334.25805517165,2377.8434049992,532.711159482577
"VIIRS",2016,8,0.341691106157986,31,0.0330638276423325,2016-08-01,-2.50949152540785,1443.52894670659,1078.73527743122,1068.7558398435,5.80752585522735,31,-0.866025403784438,-0.5,214,4.58316221765914,-2.56034690487332,176.507543660236,587.461806324623,-972.604627816132,-0.832983314161143,1397.78293801683,820.592082156277,517.512687268761,-1.25530385002252,4222.25546064734,2526.63768107163,666.282271934362
"VIIRS",2016,9,0.337854691569744,30,0.0287447606463601,2016-09-01,-1.34688771603806,1281.03971223217,609.164895820752,1554.87838607381,7.34735138539961,30,-1,-1.83697019872103e-16,245,4.66803559206023,-1.39774309550353,14.0183091858091,117.891424714152,-486.482081585816,-2.50949152540785,1443.52894670659,1078.73527743122,1068.7558398435,-1.56312085186901,4122.35159695559,2508.49225540825,1047.04897106202
"VIIRS",2016,10,0.387029126175752,31,0.00961194490741411,2016-10-01,-0.542666530120005,1250.7861580206,534.706729182275,2587.19143986481,20.5728516612062,31,-0.866025403784439,0.5,275,4.7501711156742,-0.59352190958548,-16.2352450257581,43.4332580756754,545.830972205183,-1.34688771603806,1281.03971223217,609.164895820752,1554.87838607381,-1.46634859052197,3975.35481695936,2222.60690243425,1736.94188859404
"VIIRS",2016,11,0.405243227168251,30,0.0155303426601908,2016-11-01,0.0914883885674554,1093.12747306188,246.248953093124,4070.06875579782,16.1926914244147,30,-0.5,0.866025403784438,306,4.83504449007529,0.0406330091019812,-173.893929984477,-245.024518013476,2028.7082881382,-0.542666530120005,1250.7861580206,534.706729182275,2587.19143986481,-0.599355285863535,3624.95334331465,1390.12057809615,2737.37952724548
"VIIRS",2016,12,0.338944383477595,31,0.0646715069936367,2016-12-01,1.12997447924717,1268.8362992206,271.925917014605,4229.93185874683,36.2326226078449,31,-2.44929359829471e-16,1,336,4.91718001368925,1.07911909978169,1.81489617424563,-219.347554091995,2188.57139108721,0.0914883885674554,1093.12747306188,246.248953093124,4070.06875579782,0.226265445898206,3612.74993030308,1052.88159929,3629.06401813649
"VIIRS",2017,1,0.405972209037681,31,0.0174265361599237,2017-01-01,1.98392240634616,981.014052358271,73.1151575484025,3889.4433491697,61.501594596731,31,0.5,0.866025403784439,1,5.00205338809035,1.93306702688069,-286.007350688085,-418.158313558197,1848.08288151007,1.12997447924717,1268.8362992206,271.925917014605,4229.93185874683,1.0684617580536,3342.97782464076,591.29002765613,4063.14798790479
"VIIRS",2017,2,0.359659495633832,28,0.0209858677428486,2017-02-01,3.26384080294861,1212.9419393896,288.547453832057,2823.12006484202,91.387542482561,28,0.866025403784439,0.5,32,5.08692676249144,3.21298542348313,-54.0794636567532,-202.726017274543,781.759597182395,1.98392240634616,981.014052358271,73.1151575484025,3889.4433491697,2.12591256284731,3462.79229096848,633.588528395063,3647.49842425285
"VIIRS",2017,3,0.322015945194532,31,0.0296365237665637,2017-03-01,2.29828619235209,1317.75522831476,53.4314124012391,1771.46450742107,74.1913258612451,31,1,6.12323399573677e-17,60,5.16358658453114,2.24743081288662,50.7338252684026,-437.84205870536,-269.895960238561,3.26384080294861,1212.9419393896,288.547453832057,2823.12006484202,2.51534980054895,3511.71122006264,415.094023781697,2828.00930714426
"VIIRS",2017,4,0.322163361106449,30,0.0119162826193066,2017-04-01,1.25606468009125,1369.72871975802,143.897075329785,1302.10683224723,45.5484475576496,30,0.866025403784439,-0.5,91,5.24845995893224,1.20520930062577,102.707316711663,-347.376395776815,-739.253635412396,2.29828619235209,1317.75522831476,53.4314124012391,1771.46450742107,2.27273055846398,3900.42588746239,485.875941563079,1965.56380150344
"VIIRS",2017,5,0.256783874471478,31,0.0544272152221579,2017-05-01,-0.215540245295537,1496.495464181,587.571472356987,654.232648994827,23.2808463403715,31,0.5,-0.866025403784439,121,5.3305954825462,-0.266395624761012,229.474061134644,96.2980012503875,-1387.1278186648,1.25606468009125,1369.72871975802,143.897075329785,1302.10683224723,1.11293687571593,4183.97941225378,784.89996008801,1242.60132955438
