"sensor","year","month","mean_albedo","date","mean_temp","total_precip","total_snowfall","mean_radiation","season_sin","season_cos","time_trend"
"VIIRS",2012,1,0.350496107678731,2012-01-01,2.13925626460498,819.333048303211,55.6139072846244,4089.20951802911,0.5,0.866025403784439,0
"VIIRS",2012,2,0.344989245558594,2012-02-01,2.49148156375708,1213.19774925064,21.2856434929199,3148.1391602994,0.866025403784439,0.5,0.0848733744010951
"VIIRS",2012,3,0.322389380169997,2012-03-01,2.00631321448546,1562.24216901972,134.240844357265,1495.47578437004,1,6.12323399573677e-17,0.164271047227926
"VIIRS",2012,4,0.297186165136675,2012-04-01,1.44330968395887,837.275850704984,110.43126984398,1245.55321507627,0.866025403784439,-0.5,0.249144421629021
"VIIRS",2012,5,0.27440333567141,2012-05-01,0.0438201511939096,1555.20516788922,685.395181246168,628.431691423216,0.5,-0.866025403784439,0.331279945242984
"VIIRS",2012,6,0.313602263930176,2012-06-01,-0.894317295888575,1947.07941563156,992.290455289513,399.437700970814,1.22464679914735e-16,-1,0.416153319644079
"VIIRS",2012,7,0.255577856238096,2012-07-01,-1.24231435173643,1390.23292288938,671.828885763475,495.968144415608,-0.5,-0.866025403784439,0.498288843258042
"VIIRS",2012,8,0.347676038832248,2012-08-01,-1.45170904727017,1760.30768651719,1007.25196543855,931.930118404611,-0.866025403784438,-0.5,0.583162217659138
"VIIRS",2012,9,0.374971346170951,2012-09-01,-2.42792584343665,1655.68016485467,1049.87838982481,1669.70112574702,-1,-1.83697019872103e-16,0.668035592060233
"VIIRS",2012,10,0.390266728744373,2012-10-01,-1.25066058298685,1635.29933429631,887.065601172811,2755.46061090875,-0.866025403784439,0.5,0.750171115674196
"VIIRS",2012,11,0.425091346161553,2012-11-01,-0.920449475383768,1183.34971852462,521.129546503692,3908.24131043154,-0.5,0.866025403784438,0.835044490075291
"VIIRS",2012,12,0.439659332823024,2012-12-01,0.808544826657614,943.667848373133,335.742864401055,4414.71054406341,-2.44929359829471e-16,1,0.917180013689254
"VIIRS",2013,1,0.381496227943105,2013-01-01,2.34543866636235,957.07114888427,0.862806615856949,4210.2170053003,0.5,0.866025403784439,1.00205338809035
"VIIRS",2013,2,0.345331775011245,2013-02-01,2.50336772329917,1403.80711325161,18.0050501288726,2549.68672755403,0.866025403784439,0.5,1.08692676249144
"VIIRS",2013,3,0.309036746866188,2013-03-01,2.95456605623341,1515.54944353958,18.9189342101275,1454.80248441484,1,6.12323399573677e-17,1.16358658453114
"VIIRS",2013,4,0.305241055075571,2013-04-01,1.25191556986702,1363.77755794331,243.78430235806,1059.90512072937,0.866025403784439,-0.5,1.24845995893224
"VIIRS",2013,5,0.262421954507078,2013-05-01,-0.594549933315538,1340.84212893919,648.079473094023,659.994318391193,0.5,-0.866025403784439,1.3305954825462
"VIIRS",2013,6,0.315244331551492,2013-06-01,-1.75482621869214,1583.16361089131,1126.79521585536,393.514754192719,1.22464679914735e-16,-1,1.4154688569473
"VIIRS",2013,7,0.296496090787754,2013-07-01,-1.56519529197526,1254.53300304132,774.275065005414,508.851722205669,-0.5,-0.866025403784439,1.49760438056126
"VIIRS",2013,8,0.360552681744251,2013-08-01,-2.5217349880597,1437.77344977818,1158.27583935629,945.974999584485,-0.866025403784438,-0.5,1.58247775496235
"VIIRS",2013,9,0.385300303659346,2013-09-01,-2.85097090712737,1203.77815972069,906.688492372461,1933.2046553897,-1,-1.83697019872103e-16,1.66735112936345
"VIIRS",2013,10,0.443395342922516,2013-10-01,-2.06910556082596,1131.72020868184,857.878865607088,2787.97572526706,-0.866025403784439,0.5,1.74948665297741
"VIIRS",2013,11,0.399188594855997,2013-11-01,-0.687918627857417,921.423414346333,497.550227748359,3732.17968744763,-0.5,0.866025403784438,1.83436002737851
"VIIRS",2013,12,0.389679103516191,2013-12-01,1.18002790459952,705.19477968556,135.17362403971,4106.5488230871,-2.44929359829471e-16,1,1.91649555099247
"VIIRS",2014,1,0.393406923736182,2014-01-01,0.743258290620016,1011.32180388464,193.994350424839,4098.51964102311,0.5,0.866025403784439,2.00136892539357
"VIIRS",2014,2,0.381253187713343,2014-02-01,2.34352839065623,1289.31685885503,7.14055416152143,2793.08699255043,0.866025403784439,0.5,2.08624229979466
"VIIRS",2014,3,0.319464410928829,2014-03-01,2.3334466358137,1021.73993995686,98.2954657008423,1594.10601267588,1,6.12323399573677e-17,2.16290212183436
"VIIRS",2014,4,0.300953002951456,2014-04-01,0.654050798431135,1382.18399762219,472.390609920372,1181.98822867599,0.866025403784439,-0.5,2.24777549623546
"VIIRS",2014,5,0.286538274260018,2014-05-01,-1.44604700766664,1254.07048562685,776.00408807808,695.184840609475,0.5,-0.866025403784439,2.32991101984942
"VIIRS",2014,6,0.288363793400511,2014-06-01,-0.955365656630906,1266.43412159329,664.938359119293,400.68275671266,1.22464679914735e-16,-1,2.41478439425051
"VIIRS",2014,7,0.302843135420496,2014-07-01,-2.59832177675598,1649.74763586885,1208.11281034513,540.288198452866,-0.5,-0.866025403784439,2.49691991786448
"VIIRS",2014,8,0.355993193343167,2014-08-01,-4.74030721537035,1282.13199941988,1172.19270049732,1074.84172473091,-0.866025403784438,-0.5,2.58179329226557
"VIIRS",2014,9,0.398051205356904,2014-09-01,-4.18207358488252,1150.78333369418,997.461784550596,1875.5335270548,-1,-1.83697019872103e-16,2.66666666666667
"VIIRS",2014,10,0.42848463243436,2014-10-01,-3.20426723368793,1100.49075000637,959.840036660392,2856.1146396291,-0.866025403784439,0.5,2.74880219028063
"VIIRS",2014,11,0.437273309953868,2014-11-01,-1.86859142802504,901.953147977474,511.580556369897,3964.90954646015,-0.5,0.866025403784438,2.83367556468172
"VIIRS",2014,12,0.362756233182178,2014-12-01,0.733881505949261,1679.35977165019,194.139128510919,3856.83765049483,-2.44929359829471e-16,1,2.91581108829569
"VIIRS",2015,1,0.362858041670249,2015-01-01,1.37466386327375,1257.35132906839,257.021086458594,3593.28245921491,0.5,0.866025403784439,3.00068446269678
"VIIRS",2015,2,0.370497004867856,2015-02-01,1.79148448539655,797.894613088916,71.1819764774184,3088.05215914454,0.866025403784439,0.5,3.08555783709788
"VIIRS",2015,3,0.325218474501579,2015-03-01,2.13013206483673,981.02064905015,27.0426883315126,1533.46675993337,1,6.12323399573677e-17,3.16221765913758
"VIIRS",2015,4,0.26838723377385,2015-04-01,0.331760496076129,1222.63301143472,323.912441321564,1187.52401317951,0.866025403784439,-0.5,3.24709103353867
"VIIRS",2015,5,0.250292309973919,2015-05-01,1.24857437000835,1411.06559389703,242.25577020212,539.629403155957,0.5,-0.866025403784439,3.32922655715264
"VIIRS",2015,6,0.282775140629163,2015-06-01,-2.49796419839472,1696.93346127906,1136.27943629635,433.015656876008,1.22464679914735e-16,-1,3.41409993155373
"VIIRS",2015,7,0.332259053744329,2015-07-01,-1.81734666537233,1091.65328633474,752.301536582829,518.522130432925,-0.5,-0.866025403784439,3.49623545516769
"VIIRS",2015,8,0.316414901510326,2015-08-01,-1.32945031891107,1638.08136571399,900.135164832082,902.717419792613,-0.866025403784438,-0.5,3.58110882956879
"VIIRS",2015,9,0.393784671968932,2015-09-01,-2.81498112367496,1275.32146516452,1036.35818344343,1746.79881759565,-1,-1.83697019872103e-16,3.66598220396988
"VIIRS",2015,10,0.428691796227153,2015-10-01,-2.86321375013288,1383.58205403484,1206.16003631063,2857.24725065358,-0.866025403784439,0.5,3.74811772758385
