"sensor","variable","correlation","p_value","fdr_p_value"
"VIIRS","temperature",-0.111576515698183,0.175503964419854,0.280806343071766
"VIIRS","precipitation",-0.395778077814834,5.85520593972613e-07,2.34208237589045e-06
"VIIRS","snowfall",-0.0357674050867898,0.664972274341138,0.664972274341138
"VIIRS","radiation",0.731702216430548,3.03285171549067e-26,2.42628137239254e-25
"VIIRS","partial_temperature",-0.314093261548269,0.000113038119817611,0.000301434986180295
"VIIRS","partial_precipitation",-0.143639399109543,0.0836902978265679,0.167380595653136
"VIIRS","partial_snowfall",0.100489301782938,0.227494764108644,0.303326352144859
"VIIRS","partial_radiation",-0.0621468215520126,0.456157459885276,0.521322811297459
