"sensor","year","month","mean_albedo","n_obs","sd_albedo","date","mean_temp","total_precip","total_snowfall","mean_radiation"
"VIIRS",2012,1,0.350496107678731,14,0.0265912646994931,2012-01-01,2.13925626460498,819.333048303211,55.6139072846244,4089.20951802911
"VIIRS",2012,2,0.344989245558594,29,0.046607882247291,2012-02-01,2.49148156375708,1213.19774925064,21.2856434929199,3148.1391602994
"VIIRS",2012,3,0.322389380169997,31,0.0193452781021945,2012-03-01,2.00631321448546,1562.24216901972,134.240844357265,1495.47578437004
"VIIRS",2012,4,0.297186165136675,30,0.0197706607644102,2012-04-01,1.44330968395887,837.275850704984,110.43126984398,1245.55321507627
"VIIRS",2012,5,0.27440333567141,31,0.0186411220593935,2012-05-01,0.0438201511939096,1555.20516788922,685.395181246168,628.431691423216
"VIIRS",2012,6,0.313602263930176,25,0.0808428588809926,2012-06-01,-0.894317295888575,1947.07941563156,992.290455289513,399.437700970814
"VIIRS",2012,7,0.255577856238096,31,0.0416548972052477,2012-07-01,-1.24231435173643,1390.23292288938,671.828885763475,495.968144415608
"VIIRS",2012,8,0.347676038832248,31,0.0506224821582225,2012-08-01,-1.45170904727017,1760.30768651719,1007.25196543855,931.930118404611
"VIIRS",2012,9,0.374971346170951,30,0.0658029174243372,2012-09-01,-2.42792584343665,1655.68016485467,1049.87838982481,1669.70112574702
"VIIRS",2012,10,0.390266728744373,31,0.0390818259519515,2012-10-01,-1.25066058298685,1635.29933429631,887.065601172811,2755.46061090875
"VIIRS",2012,11,0.425091346161553,30,0.0111919209733319,2012-11-01,-0.920449475383768,1183.34971852462,521.129546503692,3908.24131043154
"VIIRS",2012,12,0.439659332823024,31,0.0137931518362498,2012-12-01,0.808544826657614,943.667848373133,335.742864401055,4414.71054406341
"VIIRS",2013,1,0.381496227943105,31,0.0125888213867868,2013-01-01,2.34543866636235,957.07114888427,0.862806615856949,4210.2170053003
"VIIRS",2013,2,0.345331775011245,28,0.0141988761102123,2013-02-01,2.50336772329917,1403.80711325161,18.0050501288726,2549.68672755403
"VIIRS",2013,3,0.309036746866188,31,0.0219679896891615,2013-03-01,2.95456605623341,1515.54944353958,18.9189342101275,1454.80248441484
"VIIRS",2013,4,0.305241055075571,30,0.0218238567714684,2013-04-01,1.25191556986702,1363.77755794331,243.78430235806,1059.90512072937
"VIIRS",2013,5,0.262421954507078,31,0.0221834654793541,2013-05-01,-0.594549933315538,1340.84212893919,648.079473094023,659.994318391193
"VIIRS",2013,6,0.315244331551492,30,0.0291627572795881,2013-06-01,-1.75482621869214,1583.16361089131,1126.79521585536,393.514754192719
"VIIRS",2013,7,0.296496090787754,31,0.0421251198171898,2013-07-01,-1.56519529197526,1254.53300304132,774.275065005414,508.851722205669
"VIIRS",2013,8,0.360552681744251,31,0.0389902322170236,2013-08-01,-2.5217349880597,1437.77344977818,1158.27583935629,945.974999584485
"VIIRS",2013,9,0.385300303659346,30,0.0280399993989922,2013-09-01,-2.85097090712737,1203.77815972069,906.688492372461,1933.2046553897
"VIIRS",2013,10,0.443395342922516,31,0.0210583935388996,2013-10-01,-2.06910556082596,1131.72020868184,857.878865607088,2787.97572526706
"VIIRS",2013,11,0.399188594855997,30,0.0246616809633126,2013-11-01,-0.687918627857417,921.423414346333,497.550227748359,3732.17968744763
"VIIRS",2013,12,0.389679103516191,31,0.0303666390833137,2013-12-01,1.18002790459952,705.19477968556,135.17362403971,4106.5488230871
"VIIRS",2014,1,0.393406923736182,31,0.0459628888936904,2014-01-01,0.743258290620016,1011.32180388464,193.994350424839,4098.51964102311
"VIIRS",2014,2,0.381253187713343,28,0.0134658381897181,2014-02-01,2.34352839065623,1289.31685885503,7.14055416152143,2793.08699255043
"VIIRS",2014,3,0.319464410928829,31,0.0247700193357442,2014-03-01,2.3334466358137,1021.73993995686,98.2954657008423,1594.10601267588
"VIIRS",2014,4,0.300953002951456,30,0.0301989718790682,2014-04-01,0.654050798431135,1382.18399762219,472.390609920372,1181.98822867599
"VIIRS",2014,5,0.286538274260018,31,0.0536890158220827,2014-05-01,-1.44604700766664,1254.07048562685,776.00408807808,695.184840609475
"VIIRS",2014,6,0.288363793400511,30,0.0288905547284639,2014-06-01,-0.955365656630906,1266.43412159329,664.938359119293,400.68275671266
"VIIRS",2014,7,0.302843135420496,31,0.0188469634117243,2014-07-01,-2.59832177675598,1649.74763586885,1208.11281034513,540.288198452866
"VIIRS",2014,8,0.355993193343167,31,0.030220207378077,2014-08-01,-4.74030721537035,1282.13199941988,1172.19270049732,1074.84172473091
"VIIRS",2014,9,0.398051205356904,30,0.0207980719892153,2014-09-01,-4.18207358488252,1150.78333369418,997.461784550596,1875.5335270548
