"sensor","month","mean_albedo"
"VIIRS",1,0.372399399517678
"VIIRS",2,0.345867969489597
"VIIRS",3,0.324878091948459
"VIIRS",4,0.296270646666081
"VIIRS",5,0.279177898273071
"VIIRS",6,0.29085293218421
"VIIRS",7,0.290248927333615
"VIIRS",8,0.338435057809329
"VIIRS",9,0.382292801831767
"VIIRS",10,0.411297512043682
"VIIRS",11,0.404600576166623
"VIIRS",12,0.384233539915228
