"sensor","season","mean_albedo","sd_albedo","n_obs","min_albedo","max_albedo"
"VIIRS","Autumn",0.300099440635119,0.0461210171952039,1182,0.0750848328742857,0.554588851514517
"VIIRS","Spring",0.399462286497572,0.0384623510710643,1082,0.23171619710289,0.722984681896633
"VIIRS","Summer",0.367649766560511,0.0382728570046069,1117,0.240719737290866,0.56996219788439
"VIIRS","Winter",0.30660943718695,0.0594751269331503,1085,0.0370234446526034,0.61108313254489
