group,group_value,n_obs,mean_albedo,median_albedo,sd_albedo,min_albedo,max_albedo,q25_albedo,q75_albedo
Overall,All,4466,0.342649297227276,0.34573639915947996,0.06228265177560703,0.0370234446526034,0.722984681896633,0.29878566764425724,0.3879803858399055
Annual,2012,344,0.3447625255752466,0.336134964528429,0.06919559254188634,0.142152892869255,0.523529393512971,0.2906966425940213,0.4094489625383393
Annual,2013,365,0.34946285164790847,0.349780277869217,0.05734319378974295,0.224358929062247,0.474002980037634,0.302008548253129,0.396809803722086
Annual,2014,365,0.3543792315296382,0.355710572681126,0.06084769518935108,0.162858333842521,0.56996219788439,0.309888571479865,0.405571185824019
Annual,2015,365,0.34625684486277225,0.356302977321748,0.06756243021787396,0.140253512348463,0.467040782388606,0.307505493640455,0.395990834736635
Annual,2016,366,0.3198345194391791,0.32956369785260853,0.07345552666562478,0.0370234446526034,0.501115388934984,0.277983093189705,0.3771284768761325
Annual,2017,365,0.35299976418836476,0.355527949674132,0.06119374499988201,0.155595344738247,0.61108313254489,0.312741100468619,0.393100986944202
Annual,2018,365,0.3266013726946246,0.321846410281466,0.058169958323507916,0.190737362754494,0.615277929055837,0.28556880216495,0.362213110698132
Annual,2019,365,0.3461222309975461,0.347134044533871,0.06461337834639466,0.189551840314687,0.518516022940297,0.292024406091987,0.407254261565977
Annual,2020,366,0.3650991362361288,0.366454421806683,0.05852112175916545,0.237930647484656,0.722984681896633,0.32322442213118574,0.40703872933402624
Annual,2021,363,0.34580170954927086,0.354693595347563,0.048654672820824196,0.180989007874422,0.449419442001411,0.3207322454091585,0.3793541865850495
Annual,2022,357,0.3418490467045831,0.358362703419341,0.05780718888170561,0.195092750073225,0.44837712263706,0.29850293327046,0.384634393353743
Annual,2023,347,0.3307696900946355,0.332210479740918,0.0550918316193955,0.133481155857859,0.436062746638317,0.281720540396658,0.3730163864296775
Annual,2024,133,0.30804048066237033,0.31144741327282,0.04292552086533005,0.0750848328742857,0.37435379480532,0.295375492186184,0.336171080807143
Seasonal,Summer,1117,0.3676497665605106,0.367459960245278,0.038272857004606906,0.240719737290866,0.56996219788439,0.34447685112795,0.391215079369585
Seasonal,Autumn,1182,0.3000994406351194,0.3018782364123255,0.04612101719520391,0.0750848328742857,0.554588851514517,0.27367830645353874,0.3257934441144185
Seasonal,Winter,1085,0.3066094371869497,0.304958406388052,0.059475126933150296,0.0370234446526034,0.61108313254489,0.271369547199491,0.343243863167422
Seasonal,Spring,1082,0.3994622864975719,0.401180949788372,0.03846235107106436,0.23171619710289,0.722984681896633,0.3768070456688497,0.42355644785503277
Monthly,Jan,382,0.37239939951767836,0.3714734639928775,0.03121889521251283,0.276581326137256,0.56996219788439,0.3549327747225067,0.392878445222239
Monthly,Feb,365,0.34586796948959736,0.348190967782881,0.02958938135995705,0.259360125139026,0.501115388934984,0.326224495039884,0.36682243070655
Monthly,Mar,396,0.3248780919484586,0.321493511283352,0.0428613634308478,0.214383742440159,0.554588851514517,0.2994256351958068,0.34738475941039704
Monthly,Apr,388,0.296270646666081,0.2985850109068965,0.03385139247195736,0.188168254556637,0.390304036165079,0.2742895076876875,0.3172785004576402
Monthly,May,398,0.27917789827307055,0.27945047421597,0.04813932231581501,0.0750848328742857,0.495849750299253,0.25583244578997477,0.3072271258635515
Monthly,Jun,350,0.2908529321842097,0.292747624430506,0.06996509625832843,0.0370234446526034,0.484543335619847,0.25382328247367597,0.3322441996400945
Monthly,Jul,371,0.290248927333615,0.287290829441023,0.044849374706218637,0.133481155857859,0.48417249091347,0.2656615859393825,0.3111158876093495
Monthly,Aug,364,0.3384350578093293,0.33474008059121096,0.04772808134823859,0.189551840314687,0.61108313254489,0.307206202198409,0.372564624780195
Monthly,Sep,360,0.382292801831767,0.385349720338089,0.03803425863251752,0.23171619710289,0.615277929055837,0.358844333626999,0.4098712582876228
Monthly,Oct,369,0.411297512043682,0.410818360813438,0.031712048129905857,0.321056783352444,0.474002980037634,0.39193843682143,0.436303741506675
Monthly,Nov,353,0.40460057616662315,0.40558374724623403,0.03926297813376701,0.333338287618125,0.722984681896633,0.37918250012254,0.427713748848197
Monthly,Dec,370,0.3842335399152276,0.383965734844401,0.04232913091629513,0.240719737290866,0.471263429092793,0.3626457991591085,0.41782746207160404
